Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/05/07;53;13;8;9;11;4;1;0;2;0;1;1;2;0;0;1;0;0;0;0;
2020/05/08;49;15;12;5;4;1;3;0;0;0;1;0;2;0;3;2;0;0;1;0;
2020/05/09;25;6;5;3;3;3;1;0;0;0;0;0;0;0;1;3;0;0;0;0;
2020/05/10;18;4;5;4;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;
2020/05/11;39;11;7;7;5;4;2;0;0;1;0;0;0;0;1;0;0;0;1;0;
2020/05/12;60;11;6;9;10;5;3;1;1;2;1;1;0;1;5;2;0;0;2;0;
2020/05/13;33;4;7;3;6;3;1;1;0;0;0;1;1;0;2;1;0;0;3;0;
2020/05/14;39;8;5;7;6;4;0;1;0;4;2;0;0;0;1;1;0;0;0;0;
2020/05/15;48;10;9;9;7;1;1;0;2;1;0;1;2;0;3;1;0;0;1;0;
2020/05/16;17;4;1;2;2;2;0;0;1;0;1;0;0;0;3;1;0;0;0;0;
2020/05/17;22;8;3;2;3;0;0;0;1;2;0;0;0;0;3;0;0;0;0;0;
2020/05/18;35;5;1;3;10;3;0;0;3;1;1;2;1;0;2;3;0;0;0;0;
2020/05/19;45;4;10;10;6;2;2;0;0;2;2;3;1;0;0;3;0;0;0;0;
2020/05/20;50;15;8;5;7;7;0;1;3;2;1;0;0;0;1;0;0;0;0;0;
2020/05/21;36;9;7;7;2;2;1;1;3;0;0;2;1;0;1;0;0;0;0;0;
2020/05/22;33;12;4;4;5;1;0;3;1;1;0;0;1;0;1;0;0;0;0;0;
2020/05/23;28;8;3;3;5;2;0;0;1;0;1;1;0;0;2;2;0;0;0;0;
